DATEINT,DATE,DAY,EVENT NUMBER,EVENT NAME,TIME,REGULAR HOURS,OVERTIME HOURS
20191110,11/10/2019,SUN,12675,Tour Bus,1400-1800,4.0,0.0
20191110,11/10/2019,SUN,12866,MenBBvsCalStateFullerton,1830-2230,4.0,0.0
20191108,11/8/2019,FRI,12717,Frost-BrockHamptom,1600-2315,6.75,0.0
20191106,11/6/2019,WED,12865,MenBBvsMontana,1730-2115,3.75,0.0
20191105,11/5/2019,TUE,12848,WomenBBvsEasternWashington,1730-2115,3.75,0.0
20191103,11/3/2019,SUN,12678,Foothills,1330-1430,1.0,0.0
20191103,11/3/2019,SUN,12916,Women VolleyBall,1430-1630,2.0,0.0
20191103,11/3/2019,SUN,12678,Foothills,1630-1830,2.0,0.0
20191102,11/2/2019,SAT,12935,WomenBBvsUSA NationalTeam,1430-1845,4.25,0.0
20191101,11/1/2019,FRI,12678,Foothills,1430-1730,3.0,0.0
20191101,11/1/2019,FRI,12834,Mausoleum Party,1800-2245,4.75,0.0
20191029,10/29/2019,TUE,12857,WomenBBvsBeijing,1730-2115,3.75,0.0
20191027,10/27/2019,SUN,12673,Theta Breakers,0700-1100,4.0,0.0
20191025,10/25/2019,FRI,12678,Foothills,1430-1930,5.0,0.0
20191024,10/24/2019,THU,12632,Evening On The Quad,1550-2230,6.17,0.0
20191023,10/23/2019,WED,12836,Bing-DanielPearl,1730-2130,4.0,0.0
20191019,10/19/2019,SAT,12828,StanfordFarmDay,1330-2030,6.5,0.0
20191018,10/18/2019,FRI,12678,Foothills,1430-1930,5.0,0.0
20191016,10/16/2019,WED,12823,Bing-Brad Mehldau&Ian Bostridge,1800-2200,4.0,0.0
20191014,10/14/2019,MON,12716,Frost-Bob_Dylan,1600-2230,6.0,0.0
20191013,10/13/2019,SUN,12678,Foothills,1430-1930,5.0,0.0
20191012,10/12/2019,SAT,12715,Frost-WillieNelson,1500-2245,7.25,0.0
20191011,10/11/2019,FRI,12678,Foothills,1430-1930,5.0,0.0
20191009,10/9/2019,WED,12771,YomKippur,1600-2030,4.5,0.0
20191008,10/8/2019,TUE,12771,YomKippur,1700-2100,4.0,0.0
20191006,10/6/2019,SUN,12806,AccelerationClimateSolutions,1300-1830,5.0,0.0
20190930,9/30/2019,MON,12678,Foothills,1630-2030,4.0,0.0
20190928,9/28/2019,SAT,12773,MAX CardinalNights,1900-2330,4.5,0.0
20190927,9/27/2019,FRI,12678,Foothills,1630-2030,4.0,0.0
20190926,9/26/2019,THU,12678,Foothills,1630-2030,4.0,0.0
